Distribution Date,Territory Name,Track Id,Track Title,Source,Music User,Split %,Total Payable,Total Units,,
7/1/20,United States,14068171,BREAK YA BACK,STREAMING,NAPSTER,100,0.01,392,,
7/1/20,United States,16965369,CABARET,STREAMING,NAPSTER,100,0.01,1386,,
7/1/20,United States,15612667,DON T HOLD THE WALL,STREAMING,NAPSTER,100,0.04,2456,,
7/1/20,United States,16729881,DRINK YOU AWAY,STREAMING,NAPSTER,100,0.23,15385,,
7/1/20,United States,23591624,DUST MY SHOULDERS OFF,STREAMING,NAPSTER,100,0.01,353,,
7/1/20,United States,16965372,ELECTRIC LADY,STREAMING,NAPSTER,100,0.01,464,,
7/1/20,United States,16965364,GIMME WHAT I DON T KNOW I WANT,STREAMING,NAPSTER,100,0.01,956,,
7/1/20,United States,14974381,HANDS IN THE AIR,STREAMING,NAPSTER,100,0.02,1359,,
7/1/20,United States,19279883,IF THEY KNEW,STREAMING,NAPSTER,100,0.1,1941,,
7/1/20,United States,16031516,JAY Z BLUE,STREAMING,NAPSTER,100,0.01,2242,,
7/1/20,United States,16760490,KNOW BOUT ME,STREAMING,NAPSTER,100,0.01,723,,
7/1/20,United States,15665130,LET THE GROOVE IN,STREAMING,NAPSTER,100,0.03,2078,,
7/1/20,United States,15506656,MIRRORS,STREAMING,NAPSTER,100,0.48,31718,,
7/1/20,United States,20094132,MOVIN BASS,STREAMING,NAPSTER,100,0.02,1544,,
7/1/20,United States,16965366,MURDER,STREAMING,NAPSTER,100,0.01,989,,
7/1/20,United States,16965368,NOT A BAD THING,STREAMING,NAPSTER,100,0.08,5661,,
7/1/20,United States,13957979,PASS AT ME,STREAMING,NAPSTER,100,0.01,777,,
7/1/20,United States,16031507,PICASSO BABY,STREAMING,NAPSTER,100,0.02,4079,,
7/1/20,United States,15612645,PUSHER LOVE GIRL,STREAMING,NAPSTER,100,0.14,9596,,
7/1/20,United States,18878439,RATCHET COMMANDMENTS,STREAMING,NAPSTER,100,0.03,882,,
7/1/20,United States,16822553,ROCKET,STREAMING,NAPSTER,100,0.11,7587,,
7/1/20,United States,20933008,SMILE,STREAMING,NAPSTER,100,0.02,1278,,
7/1/20,United States,15612689,SPACESHIP COUPE,STREAMING,NAPSTER,100,0.01,1693,,
7/1/20,United States,15507329,STRAWBERRY BUBBLEGUM,STREAMING,NAPSTER,100,0.01,2616,,
7/1/20,United States,16157089,TAKE BACK THE NIGHT,STREAMING,NAPSTER,100,0.07,4869,,
7/1/20,United States,16156619,TAKE IT EASY ON ME,STREAMING,NAPSTER,100,0.01,547,,
7/1/20,United States,15665131,THAT GIRL,STREAMING,NAPSTER,100,0.02,2830,,
7/1/20,United States,21376176,THIS ME FUCK IT FEAT 2 CHAINZ,STREAMING,NAPSTER,100,0.01,296,,
7/1/20,United States,16046698,TOGETHER,STREAMING,NAPSTER,100,0.02,756,,
7/1/20,United States,16031508,TOM FORD,STREAMING,NAPSTER,100,0.08,14114,,
7/1/20,United States,16733468,TRUE BLOOD,STREAMING,NAPSTER,100,0.15,10295,,
7/1/20,United States,15612678,TUNNEL VISION,STREAMING,NAPSTER,100,0.04,2980,,
7/1/20,United States,17666273,WALK IT OUT,STREAMING,NAPSTER,100,0.01,975,,
7/1/20,United States,16242755,WOODS,STREAMING,NAPSTER,100,0.01,983,,
7/1/20,United States,21308737,YEAH I SAID IT,STREAMING,NAPSTER,100,0.17,18631,,
7/1/20,United States,16965370,YOU GOT IT ON,STREAMING,NAPSTER,100,0.01,863,,
7/1/20,United States,15506656,MIRRORS,STREAMING,NAPSTER,100,0.04,4416,,
7/1/20,United States,13416593,ALL NIGHT LONG,STREAMING,PANDORA,100,0.28,18293,,
7/1/20,United States,23400765,BODY,STREAMING,PANDORA,100,0.05,2721,,
7/1/20,United States,21376176,THIS ME FUCK IT FEAT 2 CHAINZ,STREAMING,PANDORA,100,0.03,1756,,
7/1/20,United States,16046698,TOGETHER,STREAMING,PANDORA,100,0.63,40321,,
7/1/20,United States,16733468,TRUE BLOOD,STREAMING,PANDORA,100,0.04,4059,,
7/1/20,United States,13416593,ALL NIGHT LONG,STREAMING,PANDORA,100,0.06,3720,,
7/1/20,United States,23400765,BODY,STREAMING,PANDORA,100,0.01,354,,
7/1/20,United States,21376176,THIS ME FUCK IT FEAT 2 CHAINZ,STREAMING,PANDORA,100,0.01,391,,
7/1/20,United States,16046698,TOGETHER,STREAMING,PANDORA,100,0.1,6552,,
7/1/20,United States,16733468,TRUE BLOOD,STREAMING,PANDORA,100,0.01,1046,,
7/1/20,United States,13416593,ALL NIGHT LONG,STREAMING,PANDORA,100,0.1,4363,,
7/1/20,United States,23400765,BODY,STREAMING,PANDORA,100,0.01,363,,
7/1/20,United States,21376176,THIS ME FUCK IT FEAT 2 CHAINZ,STREAMING,PANDORA,100,0.01,484,,
7/1/20,United States,16046698,TOGETHER,STREAMING,PANDORA,100,0.17,7370,,
7/1/20,United States,16733468,TRUE BLOOD,STREAMING,PANDORA,100,0.02,1667,,
7/1/20,United States,15612639,BLUE OCEAN FLOOR,OTHER,PELOTON,100,0.95,21238,,
7/1/20,United States,13685374,FASCINATED,OTHER,PELOTON,100,0.08,2060,,
7/1/20,United States,13685374,FASCINATED,OTHER,PELOTON,100,1.68,39276,,
7/1/20,United States,13685374,FASCINATED,OTHER,PELOTON,100,1.8,40392,,
7/1/20,United States,14974381,HANDS IN THE AIR,OTHER,PELOTON,100,0.72,18379,,
7/1/20,United States,14974381,HANDS IN THE AIR,OTHER,PELOTON,100,0.64,14894,,
7/1/20,United States,14974381,HANDS IN THE AIR,OTHER,PELOTON,100,0.09,1998,,
7/1/20,United States,15665130,LET THE GROOVE IN,OTHER,PELOTON,100,0.97,21736,,
7/1/20,United States,15506656,MIRRORS,OTHER,PELOTON,100,7.47,167447,,
7/1/20,United States,13957979,PASS AT ME,OTHER,PELOTON,100,0.74,18771,,
7/1/20,United States,13957979,PASS AT ME,OTHER,PELOTON,100,2.78,65032,,
7/1/20,United States,13957979,PASS AT ME,OTHER,PELOTON,100,0.35,7736,,
